gene_id	tissue	expression
ENSG00000162438.11	Pancreas	3371
ENSG00000162438.11	Pancreas	1888
ENSG00000162438.11	Pancreas	4265
ENSG00000162438.11	Pancreas	747.1
ENSG00000162438.11	Pancreas	2295
ENSG00000162438.11	Pancreas	7042
ENSG00000162438.11	Pancreas	5979
ENSG00000162438.11	Pancreas	2894
ENSG00000162438.11	Pancreas	3321
ENSG00000162438.11	Pancreas	1926
ENSG00000162438.11	Pancreas	4541
ENSG00000162438.11	Pancreas	5906
ENSG00000162438.11	Pancreas	2086
ENSG00000162438.11	Pancreas	3833
ENSG00000162438.11	Pancreas	3300
ENSG00000162438.11	Pancreas	5726
ENSG00000162438.11	Pancreas	3337
ENSG00000162438.11	Pancreas	3335
ENSG00000162438.11	Pancreas	2246
ENSG00000162438.11	Pancreas	4164
ENSG00000162438.11	Pancreas	3261
ENSG00000162438.11	Pancreas	3599
ENSG00000162438.11	Pancreas	7934
ENSG00000162438.11	Pancreas	2249
ENSG00000162438.11	Pancreas	2364
ENSG00000162438.11	Pancreas	719.4
ENSG00000162438.11	Pancreas	2639
ENSG00000162438.11	Pancreas	4943
ENSG00000162438.11	Pancreas	4296
ENSG00000162438.11	Pancreas	2648
ENSG00000162438.11	Pancreas	3916
ENSG00000162438.11	Pancreas	2047
ENSG00000162438.11	Pancreas	4171
ENSG00000162438.11	Pancreas	1942
ENSG00000162438.11	Pancreas	3296
ENSG00000162438.11	Pancreas	1839
ENSG00000162438.11	Pancreas	2509
ENSG00000162438.11	Pancreas	5349
ENSG00000162438.11	Pancreas	2217
ENSG00000162438.11	Pancreas	2438
ENSG00000162438.11	Pancreas	2327
ENSG00000162438.11	Pancreas	4550
ENSG00000162438.11	Pancreas	3087
ENSG00000162438.11	Pancreas	6240
ENSG00000162438.11	Pancreas	1282
ENSG00000162438.11	Pancreas	902.7
ENSG00000162438.11	Pancreas	1546
ENSG00000162438.11	Pancreas	4692
ENSG00000162438.11	Pancreas	2402
ENSG00000162438.11	Pancreas	3919
ENSG00000162438.11	Pancreas	5568
ENSG00000162438.11	Pancreas	2063
ENSG00000162438.11	Pancreas	5199
ENSG00000162438.11	Pancreas	5903
ENSG00000162438.11	Pancreas	2158
ENSG00000162438.11	Pancreas	2137
ENSG00000162438.11	Pancreas	4350
ENSG00000162438.11	Pancreas	2638
ENSG00000162438.11	Pancreas	7270
ENSG00000162438.11	Pancreas	9959
ENSG00000162438.11	Pancreas	1593
ENSG00000162438.11	Pancreas	2400
ENSG00000162438.11	Pancreas	4099
ENSG00000162438.11	Pancreas	3766
ENSG00000162438.11	Pancreas	1997
ENSG00000162438.11	Pancreas	1867
ENSG00000162438.11	Pancreas	2063
ENSG00000162438.11	Pancreas	8115
ENSG00000162438.11	Pancreas	3930
ENSG00000162438.11	Pancreas	4587
ENSG00000162438.11	Pancreas	2724
ENSG00000162438.11	Pancreas	5388
ENSG00000162438.11	Pancreas	5988
ENSG00000162438.11	Pancreas	3690
ENSG00000162438.11	Pancreas	7043
ENSG00000162438.11	Pancreas	2869
ENSG00000162438.11	Pancreas	4034
ENSG00000162438.11	Pancreas	4224
ENSG00000162438.11	Pancreas	2003
ENSG00000162438.11	Pancreas	3753
ENSG00000162438.11	Pancreas	3590
ENSG00000162438.11	Pancreas	2796
ENSG00000162438.11	Pancreas	2363
ENSG00000162438.11	Pancreas	3304
ENSG00000162438.11	Pancreas	2585
ENSG00000162438.11	Pancreas	5509
ENSG00000162438.11	Pancreas	4300
ENSG00000162438.11	Pancreas	2654
ENSG00000162438.11	Pancreas	4514
ENSG00000162438.11	Pancreas	3596
ENSG00000162438.11	Pancreas	3470
ENSG00000162438.11	Pancreas	1962
ENSG00000162438.11	Pancreas	1729
ENSG00000162438.11	Pancreas	1692
ENSG00000162438.11	Pancreas	4585
ENSG00000162438.11	Pancreas	3044
ENSG00000162438.11	Pancreas	2425
ENSG00000162438.11	Pancreas	5132
ENSG00000162438.11	Pancreas	3625
ENSG00000162438.11	Pancreas	5578
ENSG00000162438.11	Pancreas	2319
ENSG00000162438.11	Pancreas	790.6
ENSG00000162438.11	Pancreas	3261
ENSG00000162438.11	Pancreas	652.5
ENSG00000162438.11	Pancreas	2979
ENSG00000162438.11	Pancreas	3158
ENSG00000162438.11	Pancreas	1966
ENSG00000162438.11	Pancreas	2459
ENSG00000162438.11	Pancreas	599
ENSG00000162438.11	Pancreas	3810
ENSG00000162438.11	Pancreas	4517
ENSG00000162438.11	Pancreas	3631
ENSG00000162438.11	Pancreas	908.9
ENSG00000162438.11	Pancreas	4585
ENSG00000162438.11	Pancreas	4905
ENSG00000162438.11	Pancreas	2687
ENSG00000162438.11	Pancreas	3870
ENSG00000162438.11	Pancreas	4573
ENSG00000162438.11	Pancreas	2652
ENSG00000162438.11	Pancreas	2552
ENSG00000162438.11	Pancreas	4945
ENSG00000162438.11	Pancreas	5409
ENSG00000162438.11	Pancreas	4186
ENSG00000162438.11	Pancreas	4107
ENSG00000162438.11	Pancreas	7819
ENSG00000162438.11	Pancreas	3765
ENSG00000162438.11	Pancreas	1817
ENSG00000162438.11	Pancreas	3615
ENSG00000162438.11	Pancreas	3113
ENSG00000162438.11	Pancreas	3402
ENSG00000162438.11	Pancreas	2355
ENSG00000162438.11	Pancreas	6130
ENSG00000162438.11	Pancreas	3612
ENSG00000162438.11	Pancreas	3642
ENSG00000162438.11	Pancreas	3244
ENSG00000162438.11	Pancreas	2260
ENSG00000162438.11	Pancreas	3225
ENSG00000162438.11	Pancreas	5182
ENSG00000162438.11	Pancreas	4687
ENSG00000162438.11	Pancreas	3458
ENSG00000162438.11	Pancreas	3859
ENSG00000162438.11	Pancreas	2903
ENSG00000162438.11	Pancreas	4327
ENSG00000162438.11	Pancreas	4025
ENSG00000162438.11	Pancreas	7928
ENSG00000162438.11	Pancreas	4072
ENSG00000162438.11	Pancreas	3673
ENSG00000162438.11	Pancreas	4025
ENSG00000162438.11	Pancreas	5174
ENSG00000162438.11	Pancreas	4152
ENSG00000162438.11	Pancreas	4399
ENSG00000162438.11	Pancreas	5252
ENSG00000162438.11	Pancreas	4994
ENSG00000162438.11	Pancreas	4014
ENSG00000162438.11	Pancreas	2982
ENSG00000162438.11	Pancreas	3018
ENSG00000162438.11	Pancreas	2343
ENSG00000162438.11	Pancreas	4036
ENSG00000162438.11	Pancreas	3466
ENSG00000162438.11	Pancreas	3343
ENSG00000162438.11	Pancreas	4321
ENSG00000162438.11	Pancreas	3008
ENSG00000162438.11	Pancreas	3690
ENSG00000162438.11	Pancreas	2941
ENSG00000162438.11	Pancreas	2141
ENSG00000162438.11	Pancreas	2070
ENSG00000162438.11	Pancreas	3098
ENSG00000162438.11	Pancreas	4400
ENSG00000162438.11	Pancreas	3037
ENSG00000142615.7	Pancreas	5331
ENSG00000142615.7	Pancreas	1.097e+04
ENSG00000142615.7	Pancreas	5647
ENSG00000142615.7	Pancreas	1436
ENSG00000142615.7	Pancreas	2894
ENSG00000142615.7	Pancreas	5970
ENSG00000142615.7	Pancreas	3971
ENSG00000142615.7	Pancreas	1.819e+04
ENSG00000142615.7	Pancreas	8531
ENSG00000142615.7	Pancreas	4114
ENSG00000142615.7	Pancreas	9348
ENSG00000142615.7	Pancreas	1.263e+04
ENSG00000142615.7	Pancreas	3453
ENSG00000142615.7	Pancreas	3464
ENSG00000142615.7	Pancreas	2464
ENSG00000142615.7	Pancreas	6505
ENSG00000142615.7	Pancreas	6484
ENSG00000142615.7	Pancreas	7266
ENSG00000142615.7	Pancreas	1.248e+04
ENSG00000142615.7	Pancreas	1.566e+04
ENSG00000142615.7	Pancreas	4203
ENSG00000142615.7	Pancreas	5186
ENSG00000142615.7	Pancreas	8067
ENSG00000142615.7	Pancreas	3066
ENSG00000142615.7	Pancreas	3552
ENSG00000142615.7	Pancreas	7832
ENSG00000142615.7	Pancreas	1.134e+04
ENSG00000142615.7	Pancreas	3503
ENSG00000142615.7	Pancreas	1086
ENSG00000142615.7	Pancreas	4352
ENSG00000142615.7	Pancreas	3408
ENSG00000142615.7	Pancreas	7117
ENSG00000142615.7	Pancreas	1180
ENSG00000142615.7	Pancreas	1130
ENSG00000142615.7	Pancreas	5364
ENSG00000142615.7	Pancreas	4525
ENSG00000142615.7	Pancreas	1.74e+04
ENSG00000142615.7	Pancreas	6623
ENSG00000142615.7	Pancreas	4315
ENSG00000142615.7	Pancreas	129.9
ENSG00000142615.7	Pancreas	1.056e+04
ENSG00000142615.7	Pancreas	5428
ENSG00000142615.7	Pancreas	5603
ENSG00000142615.7	Pancreas	891.6
ENSG00000142615.7	Pancreas	1.002e+04
ENSG00000142615.7	Pancreas	1.586e+04
ENSG00000142615.7	Pancreas	3935
ENSG00000142615.7	Pancreas	1635
ENSG00000142615.7	Pancreas	4218
